ID,Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,Error Type
1.1,Sustainable Campus,"Dear students of Westford Academy, 
We are (1) ______ to announce the Sustainable Campus Design Contest! This competition features (2) ______. The event, (3) ______ by the Student Environmental Union, aims to inspire innovation while celebrating the green efforts of our school. The competition will give opportunities to showcase their creative ideas and express their understanding of environmental preservation. Participating in this event will help students learn more (4) ______ the sustainable habits and green technologies of different regions. 
To join, participants need to agree (5) ______ the official rules provided. The best concepts will be selected to represent the school in the national final, and winners will receive valuable awards. 
Let’s (6) ______ a campaign to encourage every department to submit at least one original proposal. Together, we can make Westford Academy a leader in this vital movement!",excite,exciting,excitingly,excited,D,Adjective Form
1.2,Sustainable Campus,"Dear students of Westford Academy, 
We are (1) ______ to announce the Sustainable Campus Design Contest! This competition features (2) ______. The event, (3) ______ by the Student Environmental Union, aims to inspire innovation while celebrating the green efforts of our school. The competition will give opportunities to showcase their creative ideas and express their understanding of environmental preservation. Participating in this event will help students learn more (4) ______ the sustainable habits and green technologies of different regions. 
To join, participants need to agree (5) ______ the official rules provided. The best concepts will be selected to represent the school in the national final, and winners will receive valuable awards. 
Let’s (6) ______ a campaign to encourage every department to submit at least one original proposal. Together, we can make Westford Academy a leader in this vital movement!",environmental eye-opening projects,eye-opening environmental projects,projects environmental eye-opening,environmental projects eye-opening,B,Word Order 
1.3,Sustainable Campus,"Dear students of Westford Academy, 
We are (1) ______ to announce the Sustainable Campus Design Contest! This competition features (2) ______. The event, (3) ______ by the Student Environmental Union, aims to inspire innovation while celebrating the green efforts of our school. The competition will give opportunities to showcase their creative ideas and express their understanding of environmental preservation. Participating in this event will help students learn more (4) ______ the sustainable habits and green technologies of different regions. 
To join, participants need to agree (5) ______ the official rules provided. The best concepts will be selected to represent the school in the national final, and winners will receive valuable awards. 
Let’s (6) ______ a campaign to encourage every department to submit at least one original proposal. Together, we can make Westford Academy a leader in this vital movement!",organised,organising,which organised,was organised,A,Reduced Clause 
1.4,Sustainable Campus,"Dear students of Westford Academy, 
We are (1) ______ to announce the Sustainable Campus Design Contest! This competition features (2) ______. The event, (3) ______ by the Student Environmental Union, aims to inspire innovation while celebrating the green efforts of our school. The competition will give opportunities to showcase their creative ideas and express their understanding of environmental preservation. Participating in this event will help students learn more (4) ______ the sustainable habits and green technologies of different regions. 
To join, participants need to agree (5) ______ the official rules provided. The best concepts will be selected to represent the school in the national final, and winners will receive valuable awards. 
Let’s (6) ______ a campaign to encourage every department to submit at least one original proposal. Together, we can make Westford Academy a leader in this vital movement!",to,for,about,with,C,Collocation
1.5,Sustainable Campus,"Dear students of Westford Academy, 
We are (1) ______ to announce the Sustainable Campus Design Contest! This competition features (2) ______. The event, (3) ______ by the Student Environmental Union, aims to inspire innovation while celebrating the green efforts of our school. The competition will give opportunities to showcase their creative ideas and express their understanding of environmental preservation. Participating in this event will help students learn more (4) ______ the sustainable habits and green technologies of different regions. 
To join, participants need to agree (5) ______ the official rules provided. The best concepts will be selected to represent the school in the national final, and winners will receive valuable awards. 
Let’s (6) ______ a campaign to encourage every department to submit at least one original proposal. Together, we can make Westford Academy a leader in this vital movement!",follow,following,to follow,to following,C,Overgeneralization
1.6,Sustainable Campus,"Dear students of Westford Academy, 
We are (1) ______ to announce the Sustainable Campus Design Contest! This competition features (2) ______. The event, (3) ______ by the Student Environmental Union, aims to inspire innovation while celebrating the green efforts of our school. The competition will give opportunities to showcase their creative ideas and express their understanding of environmental preservation. Participating in this event will help students learn more (4) ______ the sustainable habits and green technologies of different regions. 
To join, participants need to agree (5) ______ the official rules provided. The best concepts will be selected to represent the school in the national final, and winners will receive valuable awards. 
Let’s (6) ______ a campaign to encourage every department to submit at least one original proposal. Together, we can make Westford Academy a leader in this vital movement!",run,study,walk,manage,A,Collocation
2.1,Global Internship,"We are delighted to reveal the list of students (1) ______ for the International Business Internship (IBI) this semester! Your focus and persistence have secured this incredible position for you.
First and foremost, congratulate all of you (2) ______ this major milestone. As IBI interns, you are now part of a scheme that provides essential (3) ______, allowing you to gain expertise while producing tangible results. The chosen roles this year align with IBI’s goal (4) ______ modern corporate and economic obstacles. Your ability to be (5) ______ for this high-level internship reflects your superb preparation, talent, and drive. As interns, you will have the chance to (6) ______ a contribution to vital projects that influence the global market. This is not just a chance to generate progress but also a way to advance personally and professionally.",are selected,selecting,selected,who selected,C,Reduced Clause
2.2,Global Internship,"We are delighted to reveal the list of students (1) ______ for the International Business Internship (IBI) this semester! Your focus and persistence have secured this incredible position for you.
First and foremost, congratulate all of you (2) ______ this major milestone. As IBI interns, you are now part of a scheme that provides essential (3) ______, allowing you to gain expertise while producing tangible results. The chosen roles this year align with IBI’s goal (4) ______ modern corporate and economic obstacles. Your ability to be (5) ______ for this high-level internship reflects your superb preparation, talent, and drive. As interns, you will have the chance to (6) ______ a contribution to vital projects that influence the global market. This is not just a chance to generate progress but also a way to advance personally and professionally.",to,on,for,with,B,Collocation
2.3,Global Internship,"We are delighted to reveal the list of students (1) ______ for the International Business Internship (IBI) this semester! Your focus and persistence have secured this incredible position for you.
First and foremost, congratulate all of you (2) ______ this major milestone. As IBI interns, you are now part of a scheme that provides essential (3) ______, allowing you to gain expertise while producing tangible results. The chosen roles this year align with IBI’s goal (4) ______ modern corporate and economic obstacles. Your ability to be (5) ______ for this high-level internship reflects your superb preparation, talent, and drive. As interns, you will have the chance to (6) ______ a contribution to vital projects that influence the global market. This is not just a chance to generate progress but also a way to advance personally and professionally.",experience corporate work,corporate experience work,corporate work experience,work experience corporate,C,Word Order
2.4,Global Internship,"We are delighted to reveal the list of students (1) ______ for the International Business Internship (IBI) this semester! Your focus and persistence have secured this incredible position for you.
First and foremost, congratulate all of you (2) ______ this major milestone. As IBI interns, you are now part of a scheme that provides essential (3) ______, allowing you to gain expertise while producing tangible results. The chosen roles this year align with IBI’s goal (4) ______ modern corporate and economic obstacles. Your ability to be (5) ______ for this high-level internship reflects your superb preparation, talent, and drive. As interns, you will have the chance to (6) ______ a contribution to vital projects that influence the global market. This is not just a chance to generate progress but also a way to advance personally and professionally.",help,to help,helping,to helping,B,Overgeneralization
